순위,제목,저자,출판사
1,혼모노,성해나,창비
2,"첫 여름, 완주",김금희,무제
3,청춘의 독서,유시민,웅진지식하우스
4,안녕이라 그랬어,김애란,문학동네
5,단 한 번의 삶,김영하,복복서가
6,우리의 낙원에서 만나자,하태완,북로망스
7,세계 경제 지각 변동,박종훈,글로퍼스
8,소년이 온다,한강,창비
9,어른의 품격을 채우는 100일 필사 노트,김종원,청림Life
10,모순,양귀자,쓰다
11,원피스 ONE PIECE 111,오다 에이이치로,대원
12,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성,이투스북
13,어른의 행복은 조용하다,태수,페이지2북스
14,작은 땅의 야수들,김주혜,다산책방
15,워런 버핏 웨이,로버트 해그스트롬,상상스퀘어
16,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,이투스북
17,마침내 특이점이 시작된다,레이 커즈와일,비즈니스북스
18,이재명 자서전,이재명,아시아
19,미술관에 간 할미,할미,더퀘스트
20,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS,YBM(와이비엠)
21,위버멘쉬,프리드리히 니체,떠오름
22,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS,YBM(와이비엠)
23,초역 부처의 말,코이케 류노스케,포레스트북스
24,마법천자문 67,알에스미디어,아울북
25,처음 읽는 그리스 로마 신화 13,최설희,미래엔아이세움
26,급류,정대건,민음사
27,같이 읽자는 고백,김소영,이야기장수
28,"혹시, 돈 얘기해도 될까요?",주언규,필름
29,고전이 답했다 마땅히 가져야 할 부에 대하여,고명환,라곰
30,스파이 패밀리 Spy Family 15,엔도 타츠야,학산문화사
31,듀얼 브레인,이선 몰릭,상상스퀘어
32,해커스 토익 기출 VOCA (보카),David Cho,해커스어학연구소
33,유지만 다이어트 레시피,유지만,길벗
34,소설판 사카모토 데이즈 : 킬러들의 블루스,미사키 렌카,대원
35,쇼펜하우어 인생수업 : 한 번뿐인 삶 이렇게 살아라 (리커버 에디션),쇼펜하우어,하이스트
36,엄마의 말 연습,윤지영,카시오페아
37,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스
38,괴수 8호 RELAX 2,마츠모토 나오야,서울미디어코믹스(서울문화사)
39,왓츠 유어 드림,사이먼 스큅,북파머스
40,스토너,존 윌리엄스,알에이치코리아(RHK)
41,넥서스,유발 하라리,김영사
42,저속노화 마인드셋,정희원,웨일북
43,묘식당의 신박한 가정간편식,이용경(유튜버 묘식당),황금부엉이
44,빅 사이클,레이 달리오,한빛비즈
45,밤새들의 도시,김주혜,다산책방
46,맞춤법 천재라면,박정란,슈크림북
47,채식주의자,한강,창비
48,빛과 실,한강,문학과지성사
49,"2025 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북
50,작별하지 않는다,한강,문학동네
51,미지의 서울 대본집 세트,이강,BIRDBOX(버드박스)
52,결국 국민이 합니다,이재명,오마이북
